city,district,neighborhood,room,living room,area,age,floor,price
İstanbul, Eyüpsultan , Silahtarağa Mah.,4,1,130,8,0,320
İstanbul, Beşiktaş , Levent Mah.,2,1,130,35,1,650
İstanbul, Kağıthane , Şirintepe Mah.,1,1,95,35,2,180
İstanbul, Beyoğlu , Yenişehir Mah.,2,1,70,25,2,150
İstanbul, Şişli , Meşrutiyet Mah.,3,1,110,28,2,495
İstanbul, Bakırköy , Osmaniye Mah.,2,1,90,40,2,190
İstanbul, Beşiktaş , Ortaköy Mah.,1,1,50,22,-1,150
İstanbul, Beyoğlu , Yenişehir Mah.,2,1,95,25,2,200
İstanbul, Beşiktaş , Nisbetiye Mah.,2,1,120,40,3,500
İstanbul, Küçükçekmece , İnönü Mah.,1,1,57,1,14,270
İstanbul, Bağcılar , Demirkapı Mah.,3,1,120,27,1,125
İstanbul, Kağıthane , Çeliktepe Mah.,2,0,63,25,0,150
İstanbul, Bağcılar , Demirkapı Mah.,1,1,75,27,0,110
İstanbul, Bağcılar , Demirkapı Mah.,1,1,75,12,1,120
İstanbul, Küçükçekmece , İnönü Mah.,1,1,46,1,5,230
İstanbul, Maltepe , Zümrütevler Mah.,3,1,130,25,5,260
İstanbul, Sarıyer , Pınar Mah.,3,1,110,20,1,350
İstanbul, Şişli , Harbiye Mah.,3,1,180,35,7,1650
İstanbul, Üsküdar , Çengelköy Mah.,3,1,130,28,4,420
İstanbul, Üsküdar , Ünalan Mah.,1,1,70,1,21,730
İstanbul, Sultanbeyli , Mimar Sinan Mah.,2,1,105,1,3,2475
İstanbul, Beşiktaş , Nisbetiye Mah.,3,1,133,0,1,2000
İstanbul, Ataşehir , Esatpaşa Mah.,1,1,70,3,2,300
İstanbul, Tuzla , İstasyon Mah.,3,1,140,25,2,250
İstanbul, Tuzla , Mescit Mah.,2,1,110,10,5,310
İstanbul, Tuzla , Cami Mah.,5,1,250,15,2,600
İstanbul, Tuzla , Postane Mah.,4,1,220,20,1,320
İstanbul, Tuzla , Yayla Mah.,1,1,70,20,1,185
İstanbul, Tuzla , Yayla Mah.,2,1,115,22,5,250
İstanbul, Tuzla , Tepeören Mah.,5,2,350,17,2,750
